type,symbol,date,shares,limit_price,fill_price,fees
buy,sz.300699,2023-08-02,3054,29.31,29.31,22.38
sell,sh.600528,2023-08-03,8992,,9.8,110.15
sell,sh.600536,2023-08-03,1632,,53.08,108.28
sell,sz.000657,2023-08-03,8952,,9.9,110.78
sell,sz.000683,2023-08-03,13299,,6.55,108.89
sell,sz.300699,2023-08-03,3054,,29.15,111.28
buy,sh.600516,2023-08-03,14089,6.36,6.26,22.05
buy,sh.601001,2023-08-03,10631,8.42,8.37,22.25
buy,sh.601061,2023-08-03,10242,8.74,8.58,21.97
buy,sh.601958,2023-08-03,8221,10.89,10.81,22.22
buy,sh.688361,2023-08-03,1169,76.58,76.01,22.21
sell,sh.600516,2023-08-04,14089,,6.29,110.77
sell,sh.601061,2023-08-04,10242,,8.59,109.97
sell,sh.688361,2023-08-04,1169,,76.21,111.36
buy,sh.688213,2023-08-04,1796,49.78,49.43,22.19
buy,sh.600299,2023-08-07,11005,8.13,8.1,22.29
buy,sh.600352,2023-08-07,10135,8.83,8.79,22.27
buy,sh.601016,2023-08-07,26021,3.44,3.42,22.25
sell,sh.600521,2023-08-08,4928,,18.13,111.68
buy,sh.601156,2023-08-08,7034,12.62,12.6,22.16
sell,sh.601958,2023-08-09,8221,,10.93,112.32
sell,sh.688213,2023-08-09,1796,,47.41,106.44
buy,sh.600157,2023-08-09,59799,1.48,1.48,22.13
buy,sz.000657,2023-08-09,9025,9.81,9.72,21.93
sell,sh.600143,2023-08-10,10053,,8.64,108.57
sell,sh.600157,2023-08-10,59799,,1.5,112.12
sell,sh.600299,2023-08-10,11005,,7.94,109.22
sell,sh.600352,2023-08-10,10135,,8.91,112.88
sell,sh.600884,2023-08-10,5920,,14.9,110.26
sell,sh.601001,2023-08-10,10631,,8.27,109.9
sell,sh.601016,2023-08-10,26021,,3.38,109.94
sell,sh.601156,2023-08-10,7034,,12.69,111.58
sell,sz.000657,2023-08-10,9025,,9.66,108.98
buy,sh.600157,2023-08-11,58880,1.5,1.48,21.79
buy,sh.600352,2023-08-11,9923,8.9,8.83,21.91
buy,sh.600521,2023-08-11,4896,18.04,18.04,22.08
sell,sh.600521,2023-08-14,4896,,17.93,109.73
buy,sh.600516,2023-08-14,14501,6.08,6.02,21.82
sell,sh.600352,2023-08-15,9923,,8.76,108.66
buy,sh.600536,2023-08-15,1604,55.0,53.98,21.65
buy,sh.688318,2023-08-15,1159,76.14,76.01,22.02
