date,symbol
2022-01-04,sz.002966
2022-01-04,sh.600177
2022-01-04,sz.002958
2022-01-04,sz.000898
2022-01-04,sh.601333
2022-01-04,sh.600021
2022-01-04,sh.688192
2022-01-04,sh.688248
2022-01-04,sh.600390
2022-01-04,sh.601577
2022-01-04,sz.000785
2022-01-04,sh.688235
2022-01-04,sh.600126
2022-01-04,sh.600528
2022-01-05,sz.002683
2022-01-05,sh.600339
2022-01-05,sz.300339
2022-01-05,sh.600583
2022-01-05,sh.600642
2022-01-05,sz.000623
2022-01-05,sh.600820
2022-01-05,sz.000831
2022-01-05,sz.000728
2022-01-05,sz.002128
2022-01-05,sz.000429
2022-01-05,sz.000959
2022-01-05,sh.601997
2022-01-05,sz.000967
2022-01-05,sh.600704
2022-01-05,sh.600901
2022-01-05,sh.601019
2022-01-05,sz.002423
2022-01-05,sz.002966
2022-01-05,sh.600177
2022-01-05,sz.002958
2022-01-05,sh.601333
2022-01-05,sh.688192
2022-01-05,sh.688248
2022-01-05,sh.600390
2022-01-05,sh.601577
2022-01-05,sz.000785
2022-01-05,sh.688235
2022-01-05,sh.600126
2022-01-05,sh.600528
2022-01-06,sz.002683
2022-01-06,sh.600339
2022-01-06,sz.000563
2022-01-06,sh.600583
2022-01-06,sz.000783
2022-01-06,sz.000623
2022-01-06,sh.600820
2022-01-06,sz.000728
2022-01-06,sz.002128
2022-01-06,sz.000429
2022-01-06,sh.601997
2022-01-06,sh.600901
2022-01-06,sh.601019
2022-01-06,sz.002966
2022-01-06,sz.002608
2022-01-06,sh.601991
2022-01-06,sh.600177
2022-01-06,sz.002958
2022-01-06,sz.300601
2022-01-06,sh.601333
2022-01-06,sh.688192
2022-01-06,sh.688248
2022-01-06,sh.600390
2022-01-06,sh.600720
2022-01-06,sh.601577
2022-01-06,sz.000785
2022-01-06,sh.688235
2022-01-06,sh.600126
2022-01-06,sh.600528
2022-01-06,sz.000703
2022-01-07,sh.600339
2022-01-07,sh.600606
2022-01-07,sz.000563
2022-01-07,sh.600583
2022-01-07,sz.000783
2022-01-07,sz.000623
2022-01-07,sh.600820
2022-01-07,sz.000728
2022-01-07,sz.002128
2022-01-07,sz.000429
2022-01-07,sh.601997
2022-01-07,sh.600901
2022-01-07,sh.601019
2022-01-07,sz.002966
2022-01-07,sz.002608
2022-01-07,sz.002926
2022-01-07,sh.600177
2022-01-07,sz.002958
2022-01-07,sh.603290
2022-01-07,sz.300601
2022-01-07,sh.601333
2022-01-07,sh.688248
2022-01-07,sh.600390
2022-01-07,sh.600720
2022-01-07,sh.601577
2022-01-07,sz.000785
2022-01-07,sh.688235
2022-01-07,sh.600126
2022-01-07,sh.600528
2022-01-07,sz.000703
2022-01-10,sh.600398
2022-01-10,sh.600339
2022-01-10,sh.600606
2022-01-10,sz.000563
2022-01-10,sh.600583
2022-01-10,sz.000783
2022-01-10,sz.000623
2022-01-10,sh.600820
2022-01-10,sz.000728
2022-01-10,sh.600126
2022-01-10,sz.000429
2022-01-10,sh.601997
2022-01-10,sh.600901
2022-01-10,sh.601019
2022-01-10,sz.002966
2022-01-10,sz.002926
2022-01-10,sh.600177
2022-01-10,sz.002958
2022-01-10,sh.601333
2022-01-10,sh.688248
2022-01-10,sh.600390
2022-01-10,sh.600720
2022-01-10,sh.601577
2022-01-10,sz.000785
2022-01-10,sh.600153
2022-01-10,sh.600352
2022-01-10,sh.688235
2022-01-10,sh.600663
2022-01-10,sh.600528
2022-01-10,sz.000703
2022-01-11,sh.600398
2022-01-11,sh.600339
2022-01-11,sh.600606
2022-01-11,sz.000563
2022-01-11,sh.600583
2022-01-11,sz.000783
